AGI
zx1G01010.1
zx1G01060.1
zx1G01070.1
zx1G01080.1
zx1G01090.1
zx1G01100.2
zx1G01120.1
zx1G01140.1
zx1G01160.1
zx1G01170.1
zx1G01190.1
zx1G01220.1
zx1G01225.1
zx1G01240.1
zx1G01250.1
zx1G01260.2
zx1G01300.1
zx1G01340.2
zx1G01355.1
zx1G01360.1
zx1G01370.2
zx1G01390.1
zx1G01420.1
zx1G01430.1
zx1G01440.1
zx1G01448.1
zx1G01453.1
zx1G01470.1
zx1G01480.1
zx1G01490.1
zx1G01490.2
zx1G01510.1
zx1G01540.1
zx1G01540.2
zx1G01550.2
zx1G01560.1
zx1G01560.2
zx1G01580.1
zx1G01610.1
zx1G01620.1
zx1G01630.1
zx1G01640.1
zx1G01650.1
zx1G01680.1
zx1G01720.1
zx1G01725.1
zx1G01730.1
zx1G01770.1
zx1G01780.1
zx1G01790.1
zx1G01820.1
zx1G01860.1
zx1G01900.1
zx1G01910.4
zx1G01920.2
zx1G01970.1
zx1G01980.1
zx1G02000.1
zx1G02090.3
zx1G02100.3
zx1G02110.1
zx1G02145.2
zx1G02150.1
zx1G02180.1
zx1G02205.2
zx1G02220.1
zx1G02230.1
zx1G02260.1
zx1G02280.1
zx1G02280.2
zx1G02300.1
zx1G02305.1
zx1G02310.1
zx1G02335.1
zx1G02340.1
zx1G02350.1
zx1G02380.1
zx1G02390.1
zx1G02400.1
zx1G02405.1
zx1G02450.1
zx1G02460.1
zx1G02470.1
zx1G02470.2
zx1G02520.1
zx1G02560.1
zx1G02570.1
zx1G02620.1
zx1G02640.1
zx1G02650.1
zx1G02660.1
zx1G02670.1
zx1G02720.1
zx1G02720.2
zx1G02730.1
zx1G02740.1
zx1G02770.1
zx1G02780.1
zx1G02790.1
zx1G02816.1
zx1G02820.1
zx1G02850.1
zx1G02850.2
zx1G02850.4
zx1G02850.5
zx1G02860.1
zx1G02870.1
zx1G02880.3
zx1G02910.1
zx1G02920.1
zx1G02930.1
zx1G02950.1
zx1G02950.2
zx1G03030.1
zx1G03050.1
zx1G03055.1
zx1G03080.1
zx1G03110.1
zx1G03130.1
zx1G03160.1
zx1G03200.1
zx1G03230.1
